id,project_id,project,video_id,web_url,machine_quality_label,stats_play_count,title,channelTitle,source_term
13:6JqV6MvkQOE,13,中国木活字印刷术,6JqV6MvkQOE,https://www.youtube.com/watch?v=6JqV6MvkQOE,needs_review,81,Printed Words,World Mysteries,Chinese wooden movable type
13:6LLcFLiup2k,13,中国木活字印刷术,6LLcFLiup2k,https://www.youtube.com/watch?v=6LLcFLiup2k,likely_relevant,3,Ancient Movable Type Printing 📜 | Chinese Craft That Changed History,Ancient Wok ASMR,Chinese wooden movable type
13:6QtXyTo6fHU,13,中国木活字印刷术,6QtXyTo6fHU,https://www.youtube.com/watch?v=6QtXyTo6fHU,needs_review,102,Kyle Durrie and her Moveable Type,flintfarmersmarket,Chinese wooden movable type
13:6bS__UCnJlI,13,中国木活字印刷术,6bS__UCnJlI,https://www.youtube.com/watch?v=6bS__UCnJlI,needs_review,31,Batik one of the three major printing techniques in china#shorts #traditional #handmade,Craft Making,Chinese wooden movable type
13:6ctm3Ncxvr4,13,中国木活字印刷术,6ctm3Ncxvr4,https://www.youtube.com/watch?v=6ctm3Ncxvr4,needs_review,6935,日軍艦隊囂張來犯，不料八路布下天羅地網，殺得敵艦潰不成軍 ⚔️  抗日  MMA | Kung Fu,枪神婉儿,Chinese wooden movable type
13:6j_NJImMtsg,13,中国木活字印刷术,6j_NJImMtsg,https://www.youtube.com/watch?v=6j_NJImMtsg,likely_relevant,493,Tapping tools,"solutionofmachine8244, ",Chinese wooden movable type
13:6pzQT5MDceI,13,中国木活字印刷术,6pzQT5MDceI,https://www.youtube.com/watch?v=6pzQT5MDceI,low_relevance,7392629,How To Make Self Moving robot Using 9Volt Battery #shorts #trending #viralvideo #robot,Home world tech,Chinese wooden movable type
13:6sMzSUHLESs,13,中国木活字印刷术,6sMzSUHLESs,https://www.youtube.com/watch?v=6sMzSUHLESs,needs_review,11,Echoes of Ink: The Timeless Charm of Woodblock Printing,Legends Lore,Chinese wooden movable type
13:6yzwK2KAQdI,13,中国木活字印刷术,6yzwK2KAQdI,https://www.youtube.com/watch?v=6yzwK2KAQdI,needs_review,572,Uncovering the Secrets of Ancient China: The Four Inventions That Shaped Our World | Wonder,Wonderland,Chinese wooden movable type
13:74SwNkmf3Lw,13,中国木活字印刷术,74SwNkmf3Lw,https://www.youtube.com/watch?v=74SwNkmf3Lw,likely_relevant,7104,He Turned Mud Into a Printing Press — And It Actually Works,Craft Explained,Chinese wooden movable type
13:7TOIl9rnzck,13,中国木活字印刷术,7TOIl9rnzck,https://www.youtube.com/watch?v=7TOIl9rnzck,low_relevance,2076235,Tiny Home A-Frame Cabin Airbnb w/ Mountain Views!,MikeWillTravel,Chinese wooden movable type
13:7VL53skhzhY,13,中国木活字印刷术,7VL53skhzhY,https://www.youtube.com/watch?v=7VL53skhzhY,low_relevance,17684,Who Invented Paper Was Killed by the Empress—Here's Why!!,Untold History,Chinese wooden movable type
13:7eRLMN-jmX8,13,中国木活字印刷术,7eRLMN-jmX8,https://www.youtube.com/watch?v=7eRLMN-jmX8,needs_review,82054,【新番】一口气看完EP01-100🔥杂灵根被群嘲是永远无法筑基的废物？谁知手握上古至宝外挂，硬核开启百倍修炼速度丨MULTISUB,Amazing Anime Man,Chinese wooden movable type
13:7fjhdgK2Tb4,13,中国木活字印刷术,7fjhdgK2Tb4,https://www.youtube.com/watch?v=7fjhdgK2Tb4,likely_relevant,37,🔸 Discover the Magic of Ancient Craftsmanship | Traditional Movable Type Printing Process 🔸#shorts,Wilderness Whisper,Chinese wooden movable type
13:7oDuMZUxxeo,13,中国木活字印刷术,7oDuMZUxxeo,https://www.youtube.com/watch?v=7oDuMZUxxeo,needs_review,72933,Living Heritage: Woodblock Printing,China Culture,Chinese wooden movable type
13:7wolvXxuPUo,13,中国木活字印刷术,7wolvXxuPUo,https://www.youtube.com/watch?v=7wolvXxuPUo,likely_relevant,151,Movable Type Printing,Yuan Xu,Chinese wooden movable type
13:7zyMEVVRtf0,13,中国木活字印刷术,7zyMEVVRtf0,https://www.youtube.com/watch?v=7zyMEVVRtf0,needs_review,302,"Beautiful House, Movable Type House, Farm House, Prefabricated House, Designer House Suppliers",HITECH GROUP,Chinese wooden movable type
