video_url,project,reviewer,manual_relevance,manual_noise_type,content_language,audience_language,notes,play_count
https://www.tiktok.com/@sydneypalmieri/video/7048820034889682182,送王船,A,不相关,主题无关,英文,以英文为主,,10800000
https://www.tiktok.com/@ongkinhtrending/video/7351751895377120530,送王船,A,不相关,主题无关,泰语,泰语,,10400000
https://www.tiktok.com/@__oo__o_o__/video/7244092289725779202,送王船,A,不相关,主题无关,日语,日语,,9900000
https://www.tiktok.com/@aaleiyasart/video/7245435626198191402,中国雕版印刷技艺,A,不相关,主题无关,英文,以英文为主,麻胶版画,11400000
https://www.tiktok.com/@paintingexplained/video/7638641049614765343,中国雕版印刷技艺,A,不相关,主题无关,英文,以英文为主,画作,5200000
https://www.tiktok.com/@shoubkbr7m9/video/7480814745877007621,中国雕版印刷技艺,A,不相关,同类,中文,混合,木雕,5900000
https://www.tiktok.com/@tt45484/video/7334756867647786282,中国雕版印刷技艺,A,相关,,英文,混合,,23000000
https://www.tiktok.com/@skylineprintworks/video/6980455050179005702,中国雕版印刷技艺,A,不相关,主题无关,英文,以英文为主,,21000000
https://www.tiktok.com/@tt45484/video/7335093410476330282,中国雕版印刷技艺,A,不相关,同类,中文,混合,活字印刷术,20400000
https://www.tiktok.com/@chinesefood388/video/7625883087649410324,中国雕版印刷技艺,A,不相关,主题无关,英文,混合,,17100000
https://www.tiktok.com/@cleo_abrahams/video/7126331545304059137,藏医药浴法,A,相关,,英文,以英文为主,,282900
https://www.tiktok.com/@easternphilosophy/video/7183893845682228523,藏医药浴法,A,不相关,主题无关,英文,以英文为主,藏式黄油茶,210800
https://www.tiktok.com/@jhampalove/video/7397580111278624042,藏医药浴法,A,不相关,主题无关,英文,以英文为主,治愈的自然途径,134000
https://www.tiktok.com/@zhangyao145/video/7562784547335687431,藏医药浴法,A,不相关,主题无关,中文,混合,,3300000
https://www.tiktok.com/@earth2mars/video/7474850488287022358,藏医药浴法,A,不相关,主题无关,中文,混合,康巴锅庄舞,2300000
https://www.tiktok.com/@69scorpionqueen/video/7058758162630872322,藏医药浴法,A,不相关,主题无关,俄语,俄语,,38400000
https://www.tiktok.com/@kinfluencer100/video/7577425142435908882,藏医药浴法,A,不相关,主题无关,中文,以英文为主,,16500000
https://www.tiktok.com/@juliiachinaa/video/7480949505785974046,藏医药浴法,A,不相关,主题无关,英文,以英文为主,,10700000
https://www.tiktok.com/@needsumbitches/video/7618885396566445320,藏医药浴法,A,不相关,主题无关,英文,以英文为主,艺术作品,9700000
https://www.tiktok.com/@galimarli/video/7608049292615568661,藏医药浴法,A,不相关,主题无关,西班牙语,以英文为主,,8600000
https://www.tiktok.com/@whataboutaub/video/7514831391079648543,二十四节气,A,不相关,主题无关,英文,以英文为主,穿搭,3800000
https://www.tiktok.com/@jjmo9223/video/7387439581605498155,二十四节气,A,不相关,主题无关,英文,以英文为主,十二生肖,2900000
https://www.tiktok.com/@victoriaprice09/video/7514781401036737822,二十四节气,A,不相关,主题无关,英文,以英文为主,,2500000
